Comment,Predicted Class
This is how must be real tutorial. Thank you for acting like real teacger,Positive
is the admin route well protected?,Interrogative
Does anyone know how to make the image field optional? I'm getting uncaught errors when leaving out the image in projects.,Interrogative
Great job! Your account is an excellent resource for anyone looking to learn about [programming ].,Positive
"Thank you so much, you save my life!",Positive
What font family/theme is she using in her vscode?,Interrogative
Kaphe been following her since couple of years great teacher,Positive
I was in dire need of this. Thanks #freecodecamp,Positive
sanity is interesting...thanks for this FCC,Positive
This actually looks something like i might pull off,Positive
Hi! I am super curious about her bottom-up terminal. Which emulator/plugin is it??,Interrogative
looks like you never explained that we need a sanity account at first. feel a bit confused there,Negative
"Thanks, that's really cool stuff.",Positive
"Does the modern web really need such a variety of technologies, libraries and frameworks that perform the same tasks?",Interrogative
"in groq query, inside of categories i have a title, how to display title = article only",Interrogative
"It is stuck on ""Checking Configuration files.."" is there any solution?",Interrogative
"why we have created schema in the next-app, why not in the sanity-studio repo ?",Interrogative
"i keep getting error on 30:05 saying To access your content, you need to add the following URL as a CORS origin to your Sanity project. CORS URL to be added: localhost 3000 but i already have that in my CORS origins..",Corrective
what about no app directory??,Interrogative
im having error when accessing the dyanamic page admin error - SyntaxError: Unexpected token u in JSON at position 0   at JSON.parse (<anonymous>),Negative
Can anybody say what font is being used here?,Interrogative
How to add a login page and database connection,Interrogative
"when i try to update sanity it does not reflect on the alive website, i changed fetch functions to cache: no store, it didnot work.",Negative
Needed that,Positive
anyone else when uploading an image - it's not working?,Interrogative
How do you make the arrow in image.asset->url? Like this? →,Interrogative
Yayyy. Done and dusted!,Positive
Greetings!,Positive
"Oh my good I’m still stuck in the cat so slow ,",Negative
You can build something like this in a pure html+css,Positive
I clicked to watch this course because it a lady teaching it,Positive
I'm only here for her,Positive
"Took only half an hour to debug the AdminPage because of ""use client"" bug...",Positive
can anyone help me ? im having a white screen and no sanity login button or elements,Interrogative
"thanks arsalan, this video is a lifesaver! Vite is awesome especially while switching from webpack",Positive
"You really touched on the most important commands. I have the idea now, how does Vite work.",Positive
"thanks to the author for the effort with Vite, the development will be accelerated at times",Positive
Why should we select all elements that need a css class with js? Then the js file is full of query selectors. I can't imagine that this is the right way.,Interrogative
I get it. It's fast but why is everyone ignoring the huge security risk of exposing your API connections and key because it serves the JSX files in the network activity tab without masking them or encoding them.,Negative
Why should we select all elements that need a css class with js? Then the js file is full of query selectors. I can't imagine that this is the right way.,Interrogative
I hope this video teaches about how to optimize my app,Positive
disappointing vite lib mode isn't talked about much,Negative
"Hello Sir, we are from India and want to see your full video, please add audio track option on your YouTube channel, what will happen with this,we can see your video in any language like Hindi, Tamil etc. The video track feature is new on youtube, so please add it quickly so that we can see your video. As Mr. Beast has added video tracks. Thank you",Corrective
love you Arslan full support,Positive
how to add eslint to vite during development,Interrogative
CONGRATS ARSALAN,Positive
"wow amazing, downloading now...",Positive
Perfect,Positive
Vite is definitely choice number one after the death of cra,Positive
"Need video tutorial for starting freelance work. Seeking experienced freelancer to cover client acquisition, portfolio creation, payment systems, and more. Let me know if interested!",Imperative
If you kindly reply to my comment in the pyspark video... Plzzzzzz,Imperative
Is these another way of creating a react web?,Interrogative
Great sr,Positive
"I'm not native english speaker, seems like a great course but is so hard to understand!  Whit the rest of the videos I have no problem",Negative
why dont work data-collapse-toggle in react (vite template react-ts),Interrogative
"Well doing great, but Why there are new languages to make website i am beginner now i have to start with vite?? Or i have to start html??",Interrogative
I am watching this from Akhand Hindu Rashtra aka Eurasia.,Neutral
"As foreigner and English as the second language, I didn't understand anything what he said because of his accent, please freeCodeCamp next time choose a native speaker",Negative
Took u guys long enough lol,Negative
Thank you for sharing this valuable content. I can't stand your pronunciation though.,Negative
Are there Khattaks in India? His name has Khattak but his accent is like Indian,Interrogative
"I was afraid of this, I dont understand anything hes saying, [cc] to the rescue",Negative
Will Chatgpt remove programmers?  ill Chatgpt remove programmers?,Interrogative
i'm new new new to programming. where do I start guys?,Interrogative
This was rought to understand as a non native english speaker.,Negative
Learn ChadGPT ;),Neutral
You have pronunciation problem in English. It's very difficult to understand your words.,Negative
"i can't understand anything, he always slurps",Negative
57 m,Neutral
"I get so triggered its not ""veet"" its v i t e!",Negative
"So difficult to understand, you mumble your words constantly.",Negative
"Haven't even watched it yet but thank you Brad, I owe a great deal of gratitude to you for where I am in my developer journey",Positive
How do you get to that level by developing anything from scratch with any language and framework like you do in the videos ?,Interrogative
I am confused what exactly is the purpose of building a separate keyword extractor with openai api when a prompt into chatgpt does exactly the same thing?,Interrogative
"STUCK AT ""SyntaxError: Unexpected end of JSON input at extractKeywords""",Negative
Whoop Whoop!,Neutral
"I'm not sure why, but I keep getting error 401 for every fetch request : /  God I hate fetching",Negative
"Fantastic tutorial - always enjoy your content. This AI Service is pretty impressive stuff. Cheers,...",Positive
I Was wondering what makes MidJourney images so different in terms of quality? Couldn't find resources to understand it,Interrogative
"Congratulations on the 2m , and it would be nice if you recommended an alternative besides openAi (since its not available worldwide)",Positive
"Hi Brad, just a quick one! Are you planning to update this course on udemy: Modern JavaScript From The Beginning?",Interrogative
"I'm trying to build and deploy but I'm having problems, can you help me please",Interrogative
"I've heard about this new AI image generator Bluewillow, what do you think they're using as an AI platform and what are your thoughts on that?",Interrogative
Brad is One of the Best Teachers in a Whole World!,Positive
I came here for JS only and I got what I wanted thankyou for pasting the html and CSS!!!!,Positive
What is the average cost in creating each image?,Interrogative
One problem I faced while building app using openAi's API is that I can't find a way to download the image using the given response link,Negative
Pure Life Saver For the Modern Techies.....!! Thanks Brad...!!,Positive
where is the one of you showing how to add your local workspace to developer tools so the changes you make actually will be saved on only your computer?,Interrogative
"sir, you just amazed us every time.",Positive
"Another great one, Brad. Thanks again and Merry Christmas",Positive
Where would you deploy this? I have try render and vercel but the images wont show up,Interrogative
Can include the number of images the A.I can generate at a time?,Interrogative
Amazing project,Positive
Tell me which theme you use for your vscode editor?,Interrogative
Waiting for 2023 roadmap as usual.,Neutral
"Hey bossssss, I saw this on your IG  and was waiting patiently!! THank you.",Positive
"I love this app, I'm going to attempt to do a Django version 😂",Positive
AI is the new gold rush 🚀,Neutral
"Since we should remove the spinner whether there is an error or not, we can do it before checking response",Positive
Super!! Looking forward to your new JS course too 🙏 🤲 😊 from 🇰🇷,Positive
Great coverage. 👍🏼👍🏼👍🏼,Positive
"For those of you running MacOS Monterey, running a server on port 5000 will not work because the Airplay Receiver runs on that port 🤦‍♂",Corrective
"Brad , you are the king , you gave an excellent example for the hotest buzz in the indestry , amazing , made my weekend",Positive
It’s important to realise this is just a simple web page that uses a library to call open ai server remotely. It’s not locally generating anything.,Corrective
Can't we use live server and nodemon (which is running at port 5000) at the same time?,Interrogative
Git and bitbucket tutorial please,Imperative
"Make more complex desktop UI and data fetching using electron js and nodejs, mongodb.I didn't find good videos at youtube",Imperative
"I coded it and it works perfectly, but when I publish it in github sites its not working",Negative
"Hi Brad, Abhishek from INDIA. You are one of the most sought-after mentors out there. Just wanted to say Thanks",Positive
This was well done and very easy to understand. Thank you so much for sharing your knowledge!,Positive
"For head and tail, you don't actually need -n parameter (at least on Ubuntu 22.04 LTS). Just type ""head -2"" or ""tail -3"" for top/bottom 2/3 lines accordingly.",Neutral
CLI tools are very powerful Always keep fresh backups to restore to a stable stage as eventually you will mess something up as you tinker using a terminal.,Neutral
"Thanks Brad you are excellent, this is very useful ",Positive
"Great stuff sir,like your videos,very impressive",Positive
Thank you very much for this content! Could you kindly make a crash course on dotfiles on linux for beginners?,Interrogative
"I was just thinking I needed a course like this, then it came along.",Positive
"Wow, just about when I was pulling my hair over terminal commands, this comes in handy. Thanks Brad",Positive
"Hi Brad, please make a tutorial on backend project using node, express and mongoDb.",Imperative
"Brad is Atlas, carrying the dev world on his shoulders.",Positive
"All is simple: I see Brad's video I smash ""Like"" button.",Positive
Could you please continue this series? About things like Permission.,Interrogative
Also CMDER for Windows it’s better than git bash imo. You can use with the new Windows Terminal with some basic config. https://youtu.be/f7p4ol6Hp6c,Neutral
"Much needed topic, much needed video! Thx!",Positive
And knowing terminals can help you become a better coder because of knowing pasths/urls and that stuff,Neutral
You really know how to attract viewers. Thanks for this Crash Course.,Positive
I'm new to coding.. what's difference between command line and linux commands??,Interrogative
What are the differences from the regural and the free trial one,Interrogative
Is that all of commands run in ubuntu terminal or not?,Interrogative
"I like to use Cmder console emulator, it is really a nice one.",Neutral
Need crash course on class diagrams also,Neutral
I'm here to support you!,Positive
Now I can look like a hacker in front of people who never programmed before 😏,Neutral
I've used terminals for well over 30 years and still learned a couple of of tips. For example cd - . use pushd and popd a lot but cd - will be useful.,Neutral
Thanks for this tutorial. I learned a lot of new commands =),Positive
Thank you for this! Super cool video! A+++,Positive
What are the differences from the regural and the free trial one,Interrogative
"I like to use Cmder console emulator, it is really a nice one.",Neutral
Please make a qwik js crash course or a fullcourse pleaaase,Imperative
"The title should be ""Bash"". The video's title is misleading.",Negative
Sed command,Neutral
1st,Neutral
talk is cheap show me code,Negative
Thank you brad,Positive
"Just when you wanted something like this, Brad drops this video. 🎉 Thank you Brad and the team.",Positive
A fantastic tutorial. Easy to follow....no errors....a great introduction to Stripe too. Thanks,Positive
"This is probably my favorite youtube tutorial, Cooper revisited harder concepts for clarification multiple times. he's cool for that, definitely earned a Sub",Positive
"One thought that is going through my mind, I don't know if this goes against the grain of React, but could it be restructured into an MVC pattern?",Interrogative
thank you so much for your efforts. I was stuck on a project for a couple of days and using the 'useContext' and 'CartContext' approach really helped. thanks,Positive
git config --global core.autocrlf false,Neutral
"I finally hear good, beautiful English, not an Arab's accent.",Positive
First today,Neutral
First here,Neutral
Why FBV in 2023?,Interrogative
I had one question on the success and cancel url in the server. I realize this works for localhost. For live deployment how would you go about setting up the routes for that.,Interrogative
Walter white is cooking django,Neutral
Stuff like this is why I support your Patreon! Thanks so much,Positive
Nice course,Positive
Perfect Timing,Positive
"Great video, at 45:40 to find the total cost of products from cart, it better to use Array.Reduce() but overall good content 👌",Corrective
Its time to stop for coders-programmers saying that they are lazy - chatgpt is coming :),Positive
Been looking forward to learn stripe and here it is. thanks to traversy media,Positive
"thnaks, how and where to deploy this project??",Interrogative
It's nice course django,Positive
If I want to make a post once I get a success url back from stripe is there a way to do that?,Interrogative
We go to learning Python...,Neutral
Very good project Thank you @Cooper Codes 10/10,Positive
Many thanks for the video,Positive
It's a freshers friendly project,Positive
"Hey guys, I'm having troubles hosting this code. Do I have to change any code to make it work on the web (hosted)?",Interrogative
How you built your website? What are the technologies you used? Which is the best platform and technologies to build Tutorial website?,Interrogative
Anyone else not having the alerts show up when logging in and out. Like I can see those alerts on the Django admin site but not on the webpage,Negative
Very cool explanation,Positive
I notice that the search field is missing,Negative
"You helped me buid a crud app with multiple databases and defeated or the other groups in our class,thankyou very much",Positive
what if we have a lot of products how can we use stripe without creating products on stripe as it will be very difficult to upload  same products on 2 different platforms (website and stripe).,Interrogative
Im new to react and run a build in the shop folder. How can i build the server along with my project and upload into the ftp.,Interrogative
Hi you guys have any plan to make a complete tutorial on JAVA GUI ?,Interrogative
"Dude, free code camp is insane!!!!",Positive
"Please, make a course for NUENDО/CUBASE SOFTWARE. This is like FL Studio, but much professional...for producers... Thanks in advance!",Imperative
20:29 you can use ffc snippet Simple React Snippets extension to fast to code,Neutral
"Your videos are great! By the way, I have a Codemy membership..",Positive
Thanks Sir! Learn as Completely as i be your student!  much much thank you!,Positive
does anyone know how to set a fixed quantity for items to control the amount of supply of any given item? A user might pay for an item that the supplier (You) don't have in stock :(,Interrogative
😃Hey ! Is it possible to learn from scratch react with this tutorial please ? :),Interrogative
"By any chance did you receive an email after entering your email address? I kind of tried it, but I am failing",Interrogative
Thanks for doing this bro!,Positive
How do one receive payment in a production environment using Stripe. Would it be the same procedure.,Interrogative
Yes!!!!! Cooper codes!!!! This guy has good stuff,Positive
Can I use this for business use?,Interrogative
"For April fools, it would be hilarious if Brad put out a video titled “build a shopping cart” where he was literally building an aluminum shopping cart 😂",Neutral
"I am deploying a project like this, so in cart.jsx and server.js page in checkout function what URL should i give.",Interrogative
Hi! When you update recod in tag h1 must be <Update record> instead <Add record>,Corrective
"Thanks! It's a good tutorial for beginners, but I would like to remind that it does not follow Django's best practices.",Corrective
Thank you John Elder for helping me learn Django! I love you soo much!!,Positive
"Really, really Awesome!! You share nice vibes teaching.",Positive
Done! Excellent video. I mirrored every step in an Ubuntu VM running on VirtualBox on my laptop.,Positive
"having worked with laravel, i would say this is around 80% similar, also with Rails",Positive
excellent resource - I would recommended that you provide links to formal documentation for those that require a deeper sense of understanding of concepts/ commands etc.,Positive
"I think ""gym"" is referring to an institution, where one can train the muscles... Not ""Gymnasium""",Corrective
"Hello I wish to add an audio track in Arabic, the new feature added by YouTube",Positive
Nice. Just wish I could understand what you are saying.,Positive
You people need a 100 million subscribers,Positive
Plz upload React Native Tutorial and projects,Imperative
can anyone tell me how to import the IDE he is using to code for RL?,Interrogative
some constructive feedback: I noticed a lot of typos in the code. I suggest running the code instead of jumping to the next section. Showing errors helps us understand as well. Also you are a bit hard to understand.,Corrective
Thank you a million!,Positive
I've been having a melt down today trying to look all the gymnasium environments and had to go back to gym. Can't believe this came up 29 mins ago,Negative
"Woah, I received an assignment on Deep Q-Networks for reinforcement learning which I have to submit by the weekend and here this is",Positive
Just what I needed at the right moment! Thanks!,Positive
Thank you for all your hard work!,Positive
Hattsoff!!!! To all of your team that you’re providing all these useful courses free of cost,Positive
Thanks a million Tim! I've been searching for two months now for a tutorial exactly like this to do a project with my son. My search is over!,Positive
"Considering pygame it's a SDL wrapper, this tutorial is useful for C++ programmers who are using SDL to game games aswell Great tutorial!",Positive
This is a great introduction to python for gaming.,Positive
This is amazing. I skimmed through the video because I dont have much time but I really want to watch this. Saved for later,Positive
"Thanks! It was fun but it works very laggy on my computer (and I don't know why, it's a good computer).",Negative
"I'am 43 , I did it! I just finished your course .. thank you Tim",Positive
You guys are so super i don't have words to appreciate you.Thnks for this video,Positive
"For some reason whenever my character touches the ground it keeps bouncing on it, i double check the code with the one Tim had and I can't find the problem anyone have any idea what could cause it?",Interrogative
So great,Positive
"nice i used a lot of tims tutorials to learn python, can recommend !",Positive
"The tutorial is too complicated and advanced for novices. You must be proficient in Python and also master the usage of the pygame module, which is suitable for speeding up the viewing process.",Negative
what to do if the window doesn't pop up when running the program,Interrogative
I watch Pygame tutorials so I can build my game in C SDL2 - it's literally the same library,Positive
Omg yay! I can’t wait to try this,Positive
Tech with Tim good programmer   channel was very understable,Positive
Tim is a really good teacher.... hats off,Positive
I have a question can you make any game with these steps and code.,Interrogative
"I cant RUN, i mean, everything's fine, even the RUN.png loaded, but it doesn't run when it runs(?)",Negative
Wow That so cool,Positive
"never mind,found the source code already",Neutral
Man but what about the source code...?,Interrogative
Can you do this through REPLIT?,Interrogative
Getting ModuleNotFoundError: No module named pygame. I’m on windows,Negative
Thanks team~,Positive
thanks tim but there are no source code posted here,Negative
CAN I MAKE GAME LIKE THIS TO ANDROID MOBILE PHONE AND RELEASE THEM IN GOOGLE STORE?,Interrogative
It's so laggy (yes my laptop is old) even for just a simple platformer game. Definitely pygame is not an engine for serious commercial game.,Negative
more on phyton from scratch,Positive
Let's good Tim!,Positive
Why not super Mario?,Interrogative
What Zero views 27 likes,Neutral
Pygame doesn't work now,Negative
Tech with tim,Neutral
"Idk, Are you trying to torture yourself or something? You can easily do this game in Unity Game engine with c#, why making super mini games with hundreds of lines in python",Negative
"code not even working for me, it says pygame module not found but pygame is already installed, also import math random and os it's not even getting highlighted",Negative
Got me wathcing more videos,Positive
Excellent course...you can always spot an experienced professor from the moment he explains the notions in a manner that is easy to understand even for a child ^_^,Positive
Thanks for this! This is something I've been thinking about lately.,Positive
"Just finished this one, thanks Shad, I've been looking forward to learning database for a while now.",Positive
"wow, this was just in time for my needs! Thank you for posting.",Positive
Is the source code available somewhere?,Interrogative
"Finally, this is what i needing now ! Thanks",Positive
Can I use SQL Server instead of MySQL Database?,Interrogative
First view! Keep it up. I am very thank full of you guys such a good platform to learn.,Positive
I too was here and really enjoy the coding. I'll apply this tutorial toi my altium database programming,Positive
Exactly what I currently working on!,Positive
Holy crap! I needed this! Thank you!,Positive
Sir Plz Upload React Native Tutorials from beginner to advance with projects plz,Imperative
thanks very good video,Positive
How to implement the video view?,Interrogative
"Thank you I am waiting for this video, I think this project will change my life",Positive
Please disable showing video transcript by default just like in this video. I can't watch your previous video (react course by John Smilga) without my browser tab constantly crashing.,Negative
you know the man's old school when you see window XP wallpaper as a background,Neutral
thanks you very much sir to get new updated.,Positive
"Please, tell me about how to build a gui program that blocks exe application with given password for that, and when you want to open that exe application, there should be a form which asks for you a password to open that exe application?",Interrogative
I love this channel,Positive
I am SMART now . thanks for this tutorial.,Positive
"Nope, visual studio doesn't show the same as in the video no idea what's going on.",Negative
hi freecode camp can we have pinescript toturial,Interrogative
Where's the github?,Interrogative
how to deploy this online?,Interrogative
"oh my god the draaaaag mother of exposition, forgot to teach us the history of the internet video starts at 43:00",Negative
gamno,Neutral
banana guy hahah,Neutral
This guy's voice is not clear at all.,Negative
Yes Go Ahead,Positive
eyyy letsgooo,Positive
"React will die very soon, like the Silicon Valley Bank )) so be careful guys and don't waste your time learning something which is a trash. You DON'T need a LIBRARY for front-end web-dev, but instead you really need a FRAMEWORK. I guess you got what I mean ))",Negative
where is that sucker,Interrogative
PREREQUISITES,Neutral
bro uploaded a 14 hour vid like it's christmas or something,Neutral
"God... time stamps, please",Imperative
my friend I struggle to understand your English maybe because of English is my third language,Negative
I have taken break from my current job and and looking for react developer job,Positive
Your voice never changed a bit,Positive
I wish you would have uploaded this video earlier,Positive
Can i start react with this cours ?,Interrogative
timestamps are terrible ;(,Negative
Why 14hr video ?,Interrogative
is that video contain redux or ruflex?,Interrogative
Damn John is back,Neutral
Let's go!!!,Positive
do i need to know js before i start this course ?,Interrogative
Best ever,Positive
Thank you john and freecodecamp Cant wait to binge watch this,Positive
What kinds of project is there?,Interrogative
Should I watch this video or your older video of 10 hours?? I know nothing about react..,Interrogative
Oh my goodness,Neutral
it lacks TypeScript it ´s a shame,Negative
this does not have react routing,Negative
No typescript?,Interrogative
Looks good,Positive
Somebody know what is the basic requirements to learn react ????,Interrogative
Why I can't tumb up this video more than one time???  Great content.,Interrogative
Hello sir  Can we do collab course?,Interrogative
is it a complete cource,Interrogative
Any one share the js link to study,Interrogative
Next Upload React Native Tutorial Plz sir,Imperative
FINALLY JOHN SMILGA!!! GOD OF SIMPLY RECEPIES)))),Neutral
Timestamps aren't there.,Negative
8:59:00 we could've just use the id,Corrective
straight for learning react,Positive
Can someone tell me how to navigate to the settings.jason file. Please.,Interrogative
The best,Positive
please am looking for the code of this course to gets the data so that I can follow up with the training,Imperative
day 3 -5:26:49,Neutral
Hey hi..Why is react not recommeding to use npm create-react-app,Interrogative
"The instructor should answer some of the questions here , like the guy who asked should I watch this one if I already watched the previous one",Neutral
thank for sharing!,Positive
damn thanks i just finished javascript..,Positive
"Mister smilga, are you creating or planning to create a React 18 project-based set of tutorials. Herzliche Grüssen.",Interrogative
once again waiting for webapplication penetration testing course,Neutral
"Hello, mb Im a bit blind but I can't find e list of supporte events for new React ;) Can anyone send a link for new react docs, where are all events please ;)",Interrogative
is there any project in this course?,Interrogative
This course can compete Most of udemy react course,Positive
Where I will get a course which include hook and routers both,Interrogative
Is this course just enough for absolute beginner ?,Interrogative
Plz Make Tutorial on React Native With redux toolkit and API plz sir,Imperative
nice dude with cool tutorial,Positive
day 2 - 1:51:21 completed,Neutral
I have a project with react 17 how can i turn it to react 18 it is very long tbh so any short way ?,Interrogative
I just started Learning React and Redux and you'll put this 14hr bomb...,Neutral
I have missed this voice!!!!,Positive
I think after GPT-4 there won't be much need to learn any web development tool anymore....,Neutral
"Thank you John, thank you fcc",Positive
Does it aplly properly to react it self begginers or due to It's focus on redux I should do a React course first?,Interrogative
Is this even worth learning these days seeing what AI can do?,Interrogative
Constructive feedback -- Instructors showing there face while teaching makes it much more engaging to watch tutorials.,Positive
i think in 2023 all of react guides must be written in typescript,Neutral
Whats the difference taking this course instead of Bob Ziroll's one on scrimba?,Interrogative
Please add timestamps,Imperative
they say it's easy. I think a basic view engine can get the job done easily.,Positive
The legend does it again!,Positive
is is true that CRA is replace with create-next-app ? can you please make your insight in it ty,Interrogative
"Lord, bless you fcc. Just when I needed it the most, I found it.",Positive
I encountered this error at 4:58:20   when I tried to use setCount(count++ ) I am getting an error .. why??,Interrogative
"did we cover the 02-backroads-project, im currently on 05:21:00 and we have straight jumed to module 3, was module 2 a homework?",Interrogative
John is the best,Positive
"thank you, very good :)",Positive
"I found useref, context api, useContext really difficult to understand, from where can I study them more??",Interrogative
Most appreciated!!,Positive
"6:15:00 the useEffect runs when the component mounts, but the component to be mount, it needs users(not empty array) which deppends on the useEffect... So ?",Interrogative
"Hello, there is no translation of subtitles into Spanish, I hope they will place them at some point, thanks. I leave my like",Positive
Just finish it. Very Damn well done thanks John,Positive
Set up numbers: Is there a problem with this approach?,Interrogative
"I'm considering to learn react js, should I watch the the older react js version video first or go on with this video?",Interrogative
Great . Another refresher,Positive
"does it teach you any real-world dev workflows with design patterns, tests, etc?",Interrogative
"Please do make a complete video on backend (Node, Express, Mongodb)",Imperative
can you provide the readme that you are referring to were you have written everything in one place...btw great tutorial,Interrogative
Please make python and data structures video from beginner to advanced like c++,Imperative
"Nice one, John",Positive
"You guys are amazing, still in the frontend react section",Positive
John is my mentor. He tutored me without knowing me,Positive
you're incredible. thanks for everything,Positive
"In the useReducer section can you just pass data as the second argument in useReducer(reducer,data)??",Interrogative
Amazing Nowadays I am trying to learn React It will help me a lot but I know It takes about 5days to complete it but I will do,Positive
"Started working on reactjs because i watched join teaching reactjs , the best reactjs teacher ev",Positive
Best react course thank you for this,Positive
"Is there any reason why you can't use the book id as the book number, instead of creating number from index?",Interrogative
John is best teacher out there for Mern stack. He's not appreciated enough. It's sad,Positive
"I like the way he speaks, it's very straight forward and clear accent I don't need a lot of effort to understand what he's trying to do, thanks for sharing such an amazing content.",Positive
couldn't understand a word,Negative
Waste of time,Negative
Yet another Python video explaining the same things as the other 50 Python videos on FreeCodeCamp. Something useful and original guys or just continue to fill youtube with the same stuff over and over. Odd,Negative
Suggest a laptop,Imperative
roddy ricch teaches programming?,Interrogative
"Hey Mezzie, lay some of that hard-cuttin' mess on me. I'm short of a deuce of blips but I'll straighten you later",Neutral
Is bob marley teachin me how to code?,Interrogative
Wich compiler are he using,Interrogative
Check out 'codable id',Neutral
Can I know the reason my website is very slow on mobile phones and very fast on desktops. Anyone?,Interrogative
Oluwatomi nice one bro,Positive
The source function for the django isn’t working,Negative
Cool video. Thank you. I also release a video about the development,Positive
"This Kid is SO CUTE, and I am Glad that you are giving him an Opportunity to better his life with his SKILLS.",Positive
"Can we get a tutorial on how to make an app with html,css and JavaScript and then show how to do the backend side of it? I only know front end stuff right now",Positive
Useful video thanks from heart,Positive
It was a quick revision Really Good! Thank Tomi & @freeCodeCamp,Positive
"Please make a video on ""Computational Geometry"" & "" Graph Theory and Algorithms"" with Python",Imperative
for creating the env variables FLASK_APP and/or FLASK_ENV add the export statement before executing those statements.,Corrective
"Tomi, you're a rockstar. And Freebootcamp, thank you so much as well!",Positive
"This is exactly what i'm looking for, quite some days. Python with database thank uuu freecodecamp",Positive
Super smart kid. Bright future ahead of this guy!,Positive
Awesome  This is something I want to learn,Positive
Tomi your future is bright. I have been following u for a few months and I can say u are a very smart youngster. Keep it up junior man,Positive
Wow this course seems to be so simple and efficient at the same time. Thanks ! Will use it to start python,Positive
"The naming convention in Python is snake_case (except for Classes). Also, FastAPI would have been a more modern and easier pick as framework.",Corrective
Great course and very knowledgable instructor. I always wanted to learn python.,Positive
"hey , upload microservices for node js as well  and java spring too :)",Imperative
"Very bad course, I regret the time I spent watching it",Negative
hue hue hue hue hue hue,Neutral
Eyy,Neutral
Videos,Neutral
"This is not full course, and the instructor spends a lot of time doing unuseful things like installing softwares. I repeat, it's not a full course. The instructor doesnot explain why he used this tool not other one and what's the logic behind it. It's a big L",Negative
Final Fantasy 14 MMORPG,Neutral
Bookmarks,Neutral
Morning all,Neutral
Make a course on blender,Neutral
God will surely bless freeCodeCamp,Positive
can i use this as m back end for unreal as the consumers peronal cloud bucket and draw and pull from it,Interrogative
freeCodeCamp dropping bombs everyday,Positive
why you are not using Visual studio because its easy to add controller and every thing plz reply,Interrogative
Inflation is a real problem. The potion which was 5 units of money raised up to 7 in the middle of the video.,Negative
You request source code form doesn't work.,Negative
Could you double check?,Interrogative
why dont you segment your video?,Interrogative
When will a Ionic Course come?,Interrogative
How do authentication and authorization in microservice?,Interrogative
I paid for this course!,Negative
Someone would have the code front this video ?,Interrogative
.vscode didnt get generated,Negative
I thought this time it's gonna be a 30hr+ video lol,Positive
you should break it in multiple videos,Neutral
does it go this way in macbook as well?,Interrogative
Please please please make azure databricks using pyspark and azure dp 203 full course,Imperative
Electron JS course please,Neutral
I have just started asp net core thanks for everything,Positive
Please make a course on nodejs microservices,Imperative
Can you make a full front end development course pleaseeeeeeee,Interrogative
NET microservices is good as a coding language .,Positive
A full ReactNative course plz!,Imperative
My God I can't keep up with you guys.!!!,Negative
"Thanks for the video, you help to forget the war came into my house for a little time. You are the best! #nowar",Positive
This channel is friggin amazing!,Positive
What a nice explaination worthfull,Positive
Gift that keeps giving. Cheers again!,Positive
Amazing that you could do this in 7 hours in VS Code,Positive
Best Microservice tutorial on the internet right now.,Positive
"Excelente microservices Course, the best!!!!",Positive
Shouldn't consumers be ran in a worker service (out of process) to avoid scaling threads under the same dotnet process?,Interrogative
Blessed be those who share knowledge for free.,Positive
Can you add chapters and titles for each part for easy learning each steps ^^,Interrogative
Beautiful course. It would have been even excellent if the teacher used Minimal API for .NET 6,Positive
Another great resource for a Developer,Positive
excellent course. explanations and course structure is perfect. covers a breadth of topics with sufficient details.,Positive
Taco havers should not be fraud.,Neutral
I want to hack for money,Neutral
AlG🇩🇿🇩🇿,Neutral
This guy does nothing except for telling the topic of the videos he steals.... Inside his playroom.  Top kek,Negative
you did.,Neutral
. leave me alone and I reject the interruptions and do not consent to the obstruction of my opportunities,Negative
STOP SHOWING THIS AS AN AD. I'M NOT WATCHING AN HOUR LONG ADVERTISEMENT ON A 20 MINUTE LONG VIDEO. wheeze. lol.,Negative
definitely not for a beginner,Negative
Mern stack complex project wanted. Love you from Bangladesh,Imperative
For the website u taught us I can't see visual studio code on my laptop,Negative
Awesome! thanks x sharing!,Positive
Phenomenal Stuff!,Positive
Thankyou for actually explaining tNice tutorialngs. Other videos that I watched started talking about how to make soft and didn't ntion anytNice tutorialng,Positive
we need a python devops automation course,Imperative
In which case should I choose Cassandra over MongoDB as MongoDB also supports time series now?,Interrogative
Great video as always! I love these small side projects because it's a great oppertunity to actually finish something.,Positive
"Simple and brilliant..... Your diligence never dissappoints Brad ,  even with notifications turned on I always check daily if you have dropped something.",Positive
you can add download 'a' in html itself and simply change the href everytime qr code is generated. This way you dont have to worry about multiple download buttons also,Corrective
Which VS code theme is this ??? So clear to see,Interrogative
Thank you veryyyyyyyyyyyyyyyyyyyy much Brad. really appreciate it. Learned the many things. Keep making this kind videos more often :),Positive
I created QR generator app few days back with Flask. I even added many features like customizable QRs like image background QR or color QR etc.,Neutral
"Hold a small pause before enter when entering Emmet or Tailwind, so we can can see the code instead of going back and forth. I noticed that in a lot of tutorials, not just yours.",Corrective
"Hi, do u know how to make a qr code but from a form in the html?",Interrogative
"hey, I really like your video, thx m8!",Positive
Do you know if there is a way to create more customized qr codes like the qr code generator by bitly does? (e.g. a logo in the middle),Interrogative
I have a question why dont we use FormData() to get the values of the form inputs?,Interrogative
